Remove 	{73}	 At node8	 TIME: 	100.18862324459188
Remove 	{73}	 At node45	 TIME: 	100.19485946570575
Remove 	{73}	 At node43	 TIME: 	100.20220231638075
Remove 	{73}	 At node15	 TIME: 	100.20507063880684
Remove 	{73}	 At node40	 TIME: 	100.20619805710052
Remove 	{73}	 At node42	 TIME: 	100.2062957208979
Remove 	{73}	 At node34	 TIME: 	100.21036955793059
Remove 	{73}	 At node41	 TIME: 	100.21244307760617
Remove 	{73}	 At node44	 TIME: 	100.2189309707298
Remove 	{73}	 At node14	 TIME: 	100.23523464392808
Remove 	{73}	 At node33	 TIME: 	100.23700960440351
Remove 	{73}	 At node30	 TIME: 	100.23802445706569
Remove 	{73}	 At node36	 TIME: 	100.25541391401505
Remove 	{73}	 At node9	 TIME: 	100.26813686713803
Remove 	{73}	 At node38	 TIME: 	100.28626598083362
Remove 	{73}	 At node35	 TIME: 	100.28780964834652
Remove 	{73}	 At node39	 TIME: 	100.28905820845975
Remove 	{73}	 At node31	 TIME: 	100.31851557647043
Remove 	{73}	 At node32	 TIME: 	100.31988279861014
Remove 	{73}	 At node37	 TIME: 	100.33611058879542
Insert 	 186	 At node16	 TIME: 	101.2816234030077
Insert 	 203	 At node7	 TIME: 	101.76862019404855
Insert 	 186	 At node49	 TIME: 	102.43382485364769
Insert 	 213	 At node7	 TIME: 	103.5416520041559
Insert 	 213	 At node13	 TIME: 	104.60562824973603
Remove 	{134}	 At node2	 TIME: 	105.39100225893068
Remove 	{134}	 At node7	 TIME: 	105.40685781967811
Remove 	{134}	 At node28	 TIME: 	105.44089923280544
Remove 	{134}	 At node27	 TIME: 	105.44387743721315
Remove 	{134}	 At node8	 TIME: 	105.47274665706918
Remove 	{134}	 At node14	 TIME: 	105.48092765878485
Remove 	{134}	 At node29	 TIME: 	105.49397304470757
Remove 	{134}	 At node30	 TIME: 	105.49439023842774
Remove 	{134}	 At node36	 TIME: 	105.52553806531202
Remove 	{134}	 At node33	 TIME: 	105.52947885919414
Remove 	{134}	 At node35	 TIME: 	105.55105319273686
Remove 	{134}	 At node32	 TIME: 	105.56622667457859
Remove 	{134}	 At node34	 TIME: 	105.5686738805646
Remove 	{134}	 At node31	 TIME: 	105.5766257295603
Insert 	 185	 At node26	 TIME: 	106.78721890814411
Insert 	 203	 At node27	 TIME: 	106.83442272926669
Insert 	 213	 At node27	 TIME: 	106.84569111922039
Insert 	 197	 At node15	 TIME: 	106.98284156287437
Insert 	 185	 At node25	 TIME: 	107.51799654242356
Insert 	 213	 At node25	 TIME: 	107.56670671569611
Insert 	 203	 At node2	 TIME: 	107.81200083577778
Insert 	 213	 At node23	 TIME: 	108.06660552235712
